code,code_name
134,"Cesarean section"""
92,"Other bowel diagnostic procedures"""
37,"Diagnostic bronchoscopy and biopsy of bronchus"""
85,"Inguinal and femoral hernia repair"""
111,"Other non-OR therapeutic procedures of urinary tract"""
131,"Other non-OR therapeutic procedures; female organs"""
84,"Cholecystectomy and common duct exploration"""
184,"Intraoperative cholangiogram"""
43,"Heart valve procedures"""
169,"Debridement of wound; infection or burn"""
96,"Other OR lower GI therapeutic procedures"""
145,"Treatment; fracture or dislocation of radius and ulna"""
123,"Other operations on fallopian tubes"""
162,"Other OR therapeutic procedures on joints"""
155,"Arthrocentesis"""
159,"Other diagnostic procedures on musculoskeletal system"""
171,"Suture of skin and subcutaneous tissue"""
36,"Lobectomy or pneumonectomy"""
40,"Other diagnostic procedures of respiratory tract and mediastinum"""
87,"Laparoscopy (GI only)"""
193,"Diagnostic ultrasound of heart (echocardiogram)"""
73,"Ileostomy and other enterostomy"""
147,"Treatment; fracture or dislocation of lower extremity (other than hip or femur)"""
148,"Other fracture and dislocation procedure"""
8,"Other non-OR or closed therapeutic nervous system procedures"""
198,"Magnetic resonance imaging"""
12,"Other therapeutic endocrine procedures"""
211,"Radiation therapy"""
197,"Other diagnostic ultrasound"""
77,"Proctoscopy and anorectal biopsy"""
3,"Laminectomy; excision intervertebral disc"""
74,"Gastrectomy; partial and total"""
42,"Other OR Rx procedures on respiratory system and mediastinum"""
58,Hemodialysis
99,"Other OR gastrointestinal therapeutic procedures"""
122,"Removal of ectopic pregnancy"""
93,"Other non-OR upper GI therapeutic procedures"""
34,"Tracheostomy; temporary and permanent"""
71,"Gastrostomy; temporary and permanent"""
5,"Insertion of catheter or spinal stimulator and injection into spinal canal"""
51,Endarterectomy; vessel of head and neck
59,Other OR procedures on vessels of head and neck
82,Fluoroscopy of the biliary and pancreatic ducts (ERCP
106,"Genitourinary incontinence procedures"""
60,Embolectomy and endarterectomy of lower limbs
190,"Contrast arteriogram of femoral and lower extremity arteries"""
120,"Other operations on ovary"""
95,"Other non-OR lower GI therapeutic procedures"""
56,Other vascular bypass and shunt; not heart
202,"Electrocardiogram"""
183,"Routine chest X-ray"""
127,"Dilatation and curettage (D&C); aspiration after delivery or abortion"""
89,"Exploratory laparotomy"""
222,"Blood transfusion"""
113,"Transurethral resection of prostate (TURP)"""
191,"Arterio- or venogram (not heart and head)"""
194,"Diagnostic ultrasound of gastrointestinal tract"""
229,"Nonoperative removal of foreign body"""
170,"Excision of skin lesion"""
151,"Excision of semilunar cartilage of knee"""
149,"Arthroscopy"""
219,"Alcohol and drug rehabilitation/detoxification"""
10,"Thyroidectomy; partial or complete"""
168,"Incision and drainage; skin and subcutaneous tissue"""
41,"Other non-OR therapeutic procedures on respiratory system"""
173,"Other diagnostic procedures on skin and subcutaneous tissue"""
204,"Swan-Ganz catheterization for monitoring"""
65,"Bone marrow biopsy"""
139,"Fetal monitoring"""
163,"Other non-OR therapeutic procedures on musculoskeletal system"""
181,"Myelogram"""
29,"Dental procedures"""
69,"Esophageal dilatation"""
153,"Hip replacement; total and partial"""
64,"Bone marrow transplant"""
32,"Other non-OR therapeutic procedures on nose; mouth and pharynx"""
55,Peripheral vascular bypass
213,"Physical therapy exercises; manipulation; and other procedures"""
52,Aortic resection; replacement or anastomosis
121,"Ligation or occlusion of fallopian tubes"""
136,"Artificial rupture of membranes to assist delivery"""
212,"Diagnostic physical therapy"""
217,"Other respiratory therapy"""
209,"Non-imaging nuclear medicine probe or assay"""
214,"Traction; splints; and other wound care"""
161,"Other OR therapeutic procedures on bone"""
226,"Other diagnostic radiology and related techniques"""
218,"Psychological and psychiatric evaluation and therapy"""
80,"Appendectomy"""
128,"Diagnostic dilatation and curettage (D&C)"""
221,"Nasogastric tube"""
101,"Transurethral excision; drainage; or removal urinary obstruction"""
27,"Control of epistaxis"""
31,"Diagnostic procedures on nose; mouth and pharynx"""
141,"Other therapeutic obstetrical procedures"""
177,"Computerized axial tomography (CT) scan head"""
228,"Prophylactic vaccinations and inoculations"""
107,"Extracorporeal lithotripsy; urinary"""
167,"Mastectomy"""
180,"Other CT scan"""
189,"Contrast aortogram"""
196,"Diagnostic ultrasound of abdomen or retroperitoneum"""
178,"CT scan chest"""
179,"CT scan abdomen"""
203,"Electrographic cardiac monitoring"""
208,"Nuclear medicine imaging of pulmonary"""
188,"Cerebral arteriogram"""
33,"Other OR therapeutic procedures on nose; mouth and pharynx"""
38,"Other diagnostic procedures on lung and bronchus"""
144,"Treatment; facial fracture or dislocation"""
25,"Diagnostic procedures on ear"""
150,"Division of joint capsule; ligament or cartilage"""
109,"Procedures on the urethra"""
135,"Forceps; vacuum; and breech delivery"""
66,"Procedures on spleen"""
72,"Colostomy; temporary and permanent"""
117,"Other non-OR therapeutic procedures; male genital"""
164,"Other OR therapeutic procedures on musculoskeletal system"""
81,"Hemorrhoid procedures"""
166,"Lumpectomy; quadrantectomy of breast"""
26,"Other therapeutic ear procedures"""
35,"Tracheoscopy and laryngoscopy with biopsy"""
118,"Other OR therapeutic procedures; male genital"""
192,"Diagnostic ultrasound of head and neck"""
195,"Diagnostic ultrasound of urinary tract"""
7,"Other diagnostic nervous system procedures"""
79,"Local excision of large intestine lesion (not endoscopic)"""
176,Organ transplantation (other than bone marrow
154,"Arthroplasty other than hip or knee"""
57,Creation; revision and removal of arteriovenous fistula or vessel-to-vessel cannula for dialysis
105,"Kidney transplant"""
103,"Nephrotomy and nephrostomy"""
19,"Other therapeutic procedures on eyelids; conjunctiva; cornea"""
126,"Abortion (termination of pregnancy)"""
11,"Diagnostic endocrine procedures"""
28,"Plastic procedures on nose"""
2,"Insertion; replacement; or removal of extracranial ventricular shunt"""
114,"Open prostatectomy"""
133,"Episiotomy"""
143,"Bunionectomy or repair of toe deformities"""
220,"Ophthalmologic and otologic diagnosis and treatment"""
130,"Other diagnostic procedures; female organs"""
21,"Other extraocular muscle and orbit therapeutic procedures"""
185,"Upper gastrointestinal X-ray"""
201,"Cardiac stress tests"""
91,"Peritoneal dialysis"""
20,"Other intraocular therapeutic procedures"""
23,"Myringotomy"""
53,Varicose vein stripping; lower limb
15,"Lens and cataract procedures"""
22,"Tympanoplasty"""
138,"Diagnostic amniocentesis"""
165,"Breast biopsy and other diagnostic procedures on breast"""
30,"Tonsillectomy and/or adenoidectomy"""
116,"Diagnostic procedures; male genital"""
205,"Arterial blood gases"""
16,"Repair of retinal tear; detachment"""
46,Coronary thrombolysis
115,"Circumcision"""
207,"Nuclear medicine imaging of bone"""
17,"Destruction of lesion of retina and choroid"""
14,"Glaucoma procedures"""
210,"Other nuclear medicine imaging"""
18,"Diagnostic procedures on eye"""
230,"Extracorporeal shock wave other than urinary"""
68,"Injection or ligation of esophageal varices"""
24,"Mastoidectomy"""
206,"Microscopic examination (bacterial smear; culture; toxicology)"""
186,"Lower gastrointestinal X-ray"""
182,"Mammography"""
13,"Corneal transplant"""
215,"Other physical therapy and rehabilitation"""
200,"Nonoperative urinary system measurements"""
