code,code_name
158,Chronic kidney disease
50,Diabetes mellitus with complications
161,Other diseases of kidney and ureters
118,Phlebitis; thrombophlebitis and thromboembolism
54,Gout and other crystal arthropathies
140,Gastritis and duodenitis
60,Acute posthemorrhagic anemia
156,Nephritis; nephrosis; renal sclerosis
2617,E Codes: Adverse effects of medical drugs
139,Gastroduodenal ulcer (except hemorrhage)
146,Diverticulosis and diverticulitis
102,Nonspecific chest pain
258,Other screening for suspected conditions (not mental disorders or infectious disease)
104,Other and ill-defined heart disease
144,Regional enteritis and ulcerative colitis
4,Mycoses
212,Other bone disease and musculoskeletal deformities
35,Cancer of brain and nervous system
209,Other acquired deformities
83,Epilepsy; convulsions
198,Other inflammatory condition of skin
78,Other CNS infection and poliomyelitis
80,Multiple sclerosis
3,Bacterial infection; unspecified site
148,Peritonitis and intestinal abscess
172,Ovarian cyst
32,Cancer of bladder
46,Benign neoplasm of uterus
103,Pulmonary heart disease
121,Other diseases of veins and lymphatics
48,Thyroid disorders
167,Nonmalignant breast conditions
661,Substance-related disorders
191,Polyhydramnios and other problems of amniotic cavity
105,Conduction disorders
253,Allergic reactions
170,Prolapse of female genital organs
128,Asthma
26,Cancer of cervix
652,"""Attention-deficit"
81,Other hereditary and degenerative nervous system conditions
237,Complication of device; implant or graft
231,Other fractures
235,Open wounds of head; neck; and trunk
47,Other and unspecified benign neoplasm
109,Acute cerebrovascular disease
123,Influenza
91,Other eye disorders
249,Shock
107,Cardiac arrest and ventricular fibrillation
126,Other upper respiratory infections
88,Glaucoma
92,Otitis media and related conditions
256,Medical examination/evaluation
13,Cancer of stomach
162,Other diseases of bladder and urethra
662,Suicide and intentional self-inflicted injury
201,Infective arthritis and osteomyelitis (except that caused by tuberculosis or sexually transmitted disease)
199,Chronic ulcer of skin
204,Other non-traumatic joint disorders
248,Gangrene
232,Sprains and strains
94,Other ear and sense organ disorders
23,Other non-epithelial cancer of skin
135,Intestinal infection
90,Inflammation; infection of eye (except that caused by tuberculosis or sexually transmitteddisease)
87,Retinal detachments; defects; vascular occlusion; and retinopathy
213,Cardiac and circulatory congenital anomalies
149,Biliary tract disease
24,Cancer of breast
119,Varicose veins of lower extremity
111,Other and ill-defined cerebrovascular disease
190,Fetal distress and abnormal forces of labor
208,Acquired foot deformities
210,Systemic lupus erythematosus and connective tissue disorders
86,Cataract
207,Pathological fracture
164,Hyperplasia of prostate
22,Melanomas of skin
110,Occlusion or stenosis of precerebral arteries
97,Peri-; endo-; and myocarditis; cardiomyopathy (except that caused by tuberculosis or sexually transmitted disease)
202,Rheumatoid arthritis and related disease
234,Crushing injury or internal injury
2611,E Codes: Natural/environment
670,Miscellaneous mental health disorders
185,Prolonged pregnancy
36,Cancer of thyroid
182,Hemorrhage during pregnancy; abruptio placenta; placenta previa
200,Other skin disorders
229,Fracture of upper limb
152,Pancreatic disorders (not diabetes)
8,Other infections; including parasitic
189,Previous C-section
176,Contraceptive and procreative management
187,Malposition; malpresentation
51,Other endocrine disorders
255,Administrative/social admission
233,Intracranial injury
659,Schizophrenia and other psychotic disorders
171,Menstrual disorders
45,Maintenance chemotherapy; radiotherapy
37,Hodgkin`s disease
38,Non-Hodgkin`s lymphoma
154,Noninfectious gastroenteritis
247,Lymphadenitis
57,Immunity disorders
12,Cancer of esophagus
230,Fracture of lower limb
113,Late effects of cerebrovascular disease
93,Conditions associated with dizziness or vertigo
82,Paralysis
44,Neoplasms of unspecified nature or uncertain behavior
147,Anal and rectal conditions
61,Sickle cell anemia
15,Cancer of rectum and anus
40,Multiple myeloma
215,Genitourinary congenital anomalies
252,Malaise and fatigue
85,Coma; stupor; and brain damage
655,"""Disorders usually diagnosed in infancy"
214,Digestive congenital anomalies
18,Cancer of other GI organs; peritoneum
183,Hypertension complicating pregnancy; childbirth and the puerperium
654,Developmental disorders
180,Ectopic pregnancy
64,Other hematologic conditions
129,Aspiration pneumonitis; food/vomitus
177,Spontaneous abortion
175,Other female genital disorders
120,Hemorrhoids
169,Endometriosis
27,Cancer of ovary
168,Inflammatory diseases of female pelvic organs
227,Spinal cord injury
186,Diabetes or abnormal glucose tolerance complicating pregnancy; childbirth; or the puerperium
192,Umbilical cord complication
16,Cancer of liver and intrahepatic bile duct
17,Cancer of pancreas
7,Viral infection
242,Poisoning by other medications and drugs
76,Meningitis (except that caused by tuberculosis or sexually transmitted disease)
115,Aortic; peripheral; and visceral artery aneurysms
2619,E Codes: Other specified; NEC
166,Other male genital disorders
243,Poisoning by nonmedicinal substances
225,Joint disorders and dislocations; trauma-related
2607,E Codes: Motor vehicle traffic (MVT)
241,Poisoning by psychotropic agents
2613,E Codes: Poisoning
236,Open wounds of extremities
2606,E Codes: Machinery
39,Leukemias
112,Transient cerebral ischemia
184,Early or threatened labor
658,Personality disorders
2610,E Codes: Transport; not MVT
9,Sexually transmitted infections (not HIV or hepatitis)
2614,E Codes: Struck by; against
132,Lung disease due to external agents
188,Fetopelvic disproportion; obstruction
116,Aortic and peripheral arterial embolism or thrombosis
165,Inflammatory conditions of male genital organs
2608,E Codes: Pedal cyclist; not MVT
30,Cancer of testis
125,Acute bronchitis
173,Menopausal disorders
217,Other congenital anomalies
254,Rehabilitation care; fitting of prostheses; and adjustment of devices
142,Appendicitis and other appendiceal conditions
2618,E Codes: Other specified and classifiable
11,Cancer of head and neck
216,Nervous system congenital anomalies
2615,E Codes: Suffocation
2605,E Codes: Firearm
2601,E Codes: Cut/pierceb
656,"""Impulse control disorders"
31,Cancer of other male genital organs
25,Cancer of uterus
20,Cancer; other respiratory and intrathoracic
178,Induced abortion
28,Cancer of other female genital organs
2602,E Codes: Drowning/submersion
2612,E Codes: Overexertion
174,Female infertility
77,Encephalitis (except that caused by tuberculosis or sexually transmitted disease)
179,Postabortion complications
21,Cancer of bone and connective tissue
240,Burns
2604,E Codes: Fire/burn
56,Cystic fibrosis
2609,E Codes: Pedestrian; not MVT
34,Cancer of other urinary organs
224,Other perinatal conditions
194,Forceps delivery
223,Birth trauma
220,Intrauterine hypoxia and birth asphyxia
219,Short gestation; low birth weight; and fetal growth retardation
